"stateabb","ccode","year","month","protestcount","milprotests","antiusprotests"
"CAN",20,2002,10,0,0,0
"CAN",20,2002,11,0,0,0
"CAN",20,2002,12,0,0,0
"CAN",20,2003,1,0,0,0
"CAN",20,2003,2,0,0,0
"CAN",20,2003,3,0,0,0
"CAN",20,2003,4,0,0,0
"CAN",20,2003,5,0,0,0
"CAN",20,2003,6,0,0,0
"CAN",20,2003,7,0,0,0
"CAN",20,2003,8,0,0,0
"CAN",20,2003,9,0,0,0
"CAN",20,2003,10,0,0,0
"CAN",20,2003,11,0,0,0
"CAN",20,2003,12,0,0,0
"CAN",20,2004,1,0,0,0
"CAN",20,2004,2,0,0,0
"CAN",20,2004,3,0,0,0
"CAN",20,2004,4,0,0,0
"CAN",20,2004,5,0,0,0
"CAN",20,2004,6,0,0,0
"CAN",20,2004,7,0,0,0
"CAN",20,2004,8,0,0,0
"CAN",20,2004,9,0,0,0
"CAN",20,2004,10,0,0,0
"CAN",20,2004,11,0,0,0
"CAN",20,2004,12,0,0,0
"CAN",20,2005,1,0,0,0
"CAN",20,2005,2,0,0,0
"CAN",20,2005,3,0,0,0
"CAN",20,2005,4,0,0,0
"CAN",20,2005,5,0,0,0
"CAN",20,2005,6,0,0,0
"CAN",20,2005,7,0,0,0
"CAN",20,2005,8,0,0,0
"CAN",20,2005,9,0,0,0
"CAN",20,2005,10,0,0,0
"CAN",20,2005,11,1,0,1
"CAN",20,2005,12,0,0,0
"CAN",20,2006,1,0,0,0
"CAN",20,2006,2,0,0,0
"CAN",20,2006,3,0,0,0
"CAN",20,2006,4,0,0,0
"CAN",20,2006,5,0,0,0
"CAN",20,2006,6,0,0,0
"CAN",20,2006,7,0,0,0
"CAN",20,2006,8,0,0,0
"CAN",20,2006,9,0,0,0
"CAN",20,2006,10,0,0,0
"CAN",20,2006,11,0,0,0
"CAN",20,2006,12,0,0,0
"CAN",20,2007,1,0,0,0
"CAN",20,2007,2,0,0,0
"CAN",20,2007,3,0,0,0
"CAN",20,2007,4,0,0,0
"CAN",20,2007,5,0,0,0
"CAN",20,2007,6,0,0,0
"CAN",20,2007,7,0,0,0
"CAN",20,2007,8,0,0,0
"CAN",20,2007,9,0,0,0
"CAN",20,2007,10,0,0,0
"CAN",20,2007,11,0,0,0
"CAN",20,2007,12,0,0,0
"CAN",20,2008,1,0,0,0
"CAN",20,2008,2,0,0,0
"CAN",20,2008,3,0,0,0
"CAN",20,2008,4,0,0,0
"CAN",20,2008,5,0,0,0
"CAN",20,2008,6,0,0,0
